no	n o |
devotamente	d e v o t a m e n t e |
rosa	r o s a |
olvidando	o l v i d a n d o |
contrición	c o n t r i c i ó n |
sentir	s e n t i r |
especialista	e s p e c i a l i s t a |
joanot	j o a n o t |
martorell	m a r t o r e l l |
repugnante	r e p u g n a n t e |
castellar	c a s t e l l a r |
estrechando	e s t r e c h a n d o |
cáliz	c á l i z |
quiso	q u i s o |
oírla	o í r l a |
jornada	j o r n a d a |
inteligencia	i n t e l i g e n c i a |
artificial	a r t i f i c i a l |
acabará	a c a b a r á |
veré	v e r é |
ocasión	o c a s i ó n |
simbólicos	s i m b ó l i c o s |
rápida	r á p i d a |
bocadillos	b o c a d i l l o s |
caña	c a ñ a |
impresión	i m p r e s i ó n |
escafandra	e s c a f a n d r a |
espectacular	e s p e c t a c u l a r |
bravura	b r a v u r a |
galán	g a l á n |
misteriosa	m i s t e r i o s a |
toalla	t o a l l a |
esposa	e s p o s a |
pertenecía	p e r t e n e c í a |
mexicano	m e x i c a n o |
asustado	a s u s t a d o |
evoca	e v o c a |
feudal	f e u d a l |
causado	c a u s a d o |
hematoma	h e m a t o m a |
intracraneal	i n t r a c r a n e a l |
subí	s u b í |
darás	d a r á s |
echó	e c h ó |
cerrojos	c e r r o j o s |
lumbre	l u m b r e |
agitarse	a g i t a r s e |
vagar	v a g a r |
figuras	f i g u r a s |
agüero	a g ü e r o |
alimente	a l i m e n t e |
saque	s a q u e |
enojar	e n o j a r |
reconociendo	r e c o n o c i e n d o |
sitios	s i t i o s |
barrio	b a r r i o |
perdidos	p e r d i d o s |
editorial	e d i t o r i a l |
publicar	p u b l i c a r |
clásicos	c l á s i c o s |
pesados	p e s a d o s |
interrumpir	i n t e r r u m p i r |
tardamos	t a r d a m o s |
iréis	i r é i s |
cruz	c r u z |
racheado	r a c h e a d o |
juntado	j u n t a d o |
bronceada	b r o n c e a d a |
exótica	e x ó t i c a |
retirado	r e t i r a d o |
nieves	n i e v e s |
ruego	r u e g o |
edificio	e d i f i c i o |
excita	e x c i t a |
desprenderse	d e s p r e n d e r s e |
roncar	r o n c a r |
divorcio	d i v o r c i o |
corona	c o r o n a |
agencia	a g e n c i a |
catalana	c a t a l a n a |
iván	i v á n |
abominable	a b o m i n a b l e |
lana	l a n a |
saldrán	s a l d r á n |
trasquilados	t r a s q u i l a d o s |
sépalo	s é p a l o |
expresión	e x p r e s i ó n |
espanto	e s p a n t o |
corte	c o r t e |
desaparece	d e s a p a r e c e |
etíopes	e t í o p e s |
carceleros	c a r c e l e r o s |
princesas	p r i n c e s a s |
castillos	c a s t i l l o s |
encantados	e n c a n t a d o s |
ancla	a n c l a |
ponerle	p o n e r l e |
asco	a s c o |
ocupa	o c u p a |
presumes	p r e s u m e s |
careces	c a r e c e s |
copa	c o p a |
incrustaciones	i n c r u s t a c i o n e s |
plateadas	p l a t e a d a s |
evitarlo	e v i t a r l o |
recitar	r e c i t a r |
italiano	i t a l i a n o |
sonetos	s o n e t o s |
renacimiento	r e n a c i m i e n t o |
postales	p o s t a l e s |
decirles	d e c i r l e s |
vueltos	v u e l t o s |
monstruoso	m o n s t r u o s o |
indiferente	i n d i f e r e n t e |
divinidad	d i v i n i d a d |
mora	m o r a |
siéntate	s i é n t a t e |
regresiva	r e g r e s i v a |
comenzará	c o m e n z a r á |
momentáneamente	m o m e n t á n e a m e n t e |
mate	m a t e |
quería	q u e r í a |
recorrer	r e c o r r e r |
peregrinación	p e r e g r i n a c i ó n |
ríe	r í e |
contó	c o n t ó |
mezclan	m e z c l a n |
fanta	f a n t a |
eristoff	e r i s t o f f |
cazuela	c a z u e l a |
estuvieron	e s t u v i e r o n |
reunidas	r e u n i d a s |
huestes	h u e s t e s |
cuadrados	c u a d r a d o s |
comenzaban	c o m e n z a b a n |
árboles	á r b o l e s |
eterno	e t e r n o |
labio	l a b i o |
inquietante	i n q u i e t a n t e |
oigo	o i g o |
melosa	m e l o s a |
criollas	c r i o l l a s |
ataviadas	a t a v i a d a s |
graciosa	g r a c i o s a |
ingenuidad	i n g e n u i d a d |
estatuas	e s t a t u a s |
clásicas	c l á s i c a s |
chiste	c h i s t e |
perdiste	p e r d i s t e |
despedidas	d e s p e d i d a s |
cristaleras	c r i s t a l e r a s |
tornóse	t o r n ó s e |
húmedos	h ú m e d o s |
ahorros	a h o r r o s |
invertidos	i n v e r t i d o s |
horrorizaba	h o r r o r i z a b a |
pretendo	p r e t e n d o |
enteraran	e n t e r a r a n |
bolígrafo	b o l í g r a f o |
quedas	q u e d a s |
matiz	m a t i z |
zoológica	z o o l ó g i c a |
veraneando	v e r a n e a n d o |
manifestación	m a n i f e s t a c i ó n |
corsetera	c o r s e t e r a |
cogió	c o g i ó |
desprevenido	d e s p r e v e n i d o |
playero	p l a y e r o |
cortan	c o r t a n |
puchero	p u c h e r o |
clichés	c l i c h é s |
objetivos	o b j e t i v o s |
mostró	m o s t r ó |
lindo	l i n d o |
prisionero	p r i s i o n e r o |
chapín	c h a p í n |
paisaje	p a i s a j e |
tropezado	t r o p e z a d o |
proyectos	p r o y e c t o s |
maravillan	m a r a v i l l a n |
logré	l o g r é |
puntuación	p u n t u a c i ó n |
silenciosos	s i l e n c i o s o s |
avanzaban	a v a n z a b a n |
suma	s u m a |
cautela	c a u t e l a |
recordarle	r e c o r d a r l e |
derechos	d e r e c h o s |
conyugales	c o n y u g a l e s |
reconocidos	r e c o n o c i d o s |
eché	e c h é |
hamaca	h a m a c a |
disney	d i s n e y |
cortado	c o r t a d o |
bocadillo	b o c a d i l l o |
calamares	c a l a m a r e s |
mayonesa	m a y o n e s a |
curarlos	c u r a r l o s |
apoyado	a p o y a d o |
susurrante	s u s u r r a n t e |
seguíamos	s e g u í a m o s |
polvorienta	p o l v o r i e n t a |
intensos	i n t e n s o s |
concierto	c o n c i e r t o |
aquemarropa	a q u e m a r r o p a |
montan	m o n t a n |
muerdan	m u e r d a n |
ácida	á c i d a |
escogida	e s c o g i d a |
flaco	f l a c o |
pulgas	p u l g a s |
incendio	i n c e n d i o |
redujo	r e d u j o |
varias	v a r i a s |
cenizas	c e n i z a s |
intentarlo	i n t e n t a r l o |
diles	d i l e s |
simpáticos	s i m p á t i c o s |
afeité	a f e i t é |
tuerto	t u e r t o |
tatuaje	t a t u a j e |
melancolía	m e l a n c o l í a |
germen	g e r m e n |
diploma	d i p l o m a |
suiza	s u i z a |
empavesado	e m p a v e s a d o |
banderas	b a n d e r a s |
gallardetes	g a l l a r d e t e s |
acababa	a c a b a b a |
varar	v a r a r |
aten	a t e n |
sucede	s u c e d e |
absurdo	a b s u r d o |
generando	g e n e r a n d o |
ayudara	a y u d a r a |
llanura	l l a n u r a |
chaparros	c h a p a r r o s |
tendían	t e n d í a n |
tremolaron	t r e m o l a r o n |
masteleros	m a s t e l e r o s |
vistosas	v i s t o s a s |
revela	r e v e l a |
única	ú n i c a |
debilidad	d e b i l i d a d |
tontas	t o n t a s |
genios	g e n i o s |
aparecía	a p a r e c í a |
habremos	h a b r e m o s |
embarrancado	e m b a r r a n c a d o |
impulsores	i m p u l s o r e s |
turbo	t u r b o |
secuestran	s e c u e s t r a n |
chivo	c h i v o |
imberbe	i m b e r b e |
abrirlos	a b r i r l o s |
tontito	t o n t i t o |
chicle	c h i c l e |
lumbreras	l u m b r e r a s |
entraba	e n t r a b a |
opuesto	o p u e s t o |
pedir	p e d i r |
abrace	a b r a c e |
evito	e v i t o |
sarna	s a r n a |
sarnosos	s a r n o s o s |
habría	h a b r í a |
sano	s a n o |
mantenerse	m a n t e n e r s e |
secos	s e c o s |
menester	m e n e s t e r |
prenda	p r e n d a |
tenerlo	t e n e r l o |
controlado	c o n t r o l a d o |
huyo	h u y o |
situaciones	s i t u a c i o n e s |
embarazosas	e m b a r a z o s a s |
abandona	a b a n d o n a |
fácilmente	f á c i l m e n t e |
peligrosa	p e l i g r o s a |
lecturas	l e c t u r a s |
espaciadas	e s p a c i a d a s |
chapoteo	c h a p o t e o |
trajín	t r a j í n |
seguirme	s e g u i r m e |
parto	p a r t o |
mero	m e r o |
beberé	b e b e r é |
sádica	s á d i c a |
prolongaba	p r o l o n g a b a |
sorprendes	s o r p r e n d e s |
dejándome	d e j á n d o m e |
preocupado	p r e o c u p a d o |
cargué	c a r g u é |
manzanas	m a n z a n a s |
pones	p o n e s |
alba	a l b a |
desembarqué	d e s e m b a r q u é |
infanzona	i n f a n z o n a |
encantan	e n c a n t a n |
trajimos	t r a j i m o s |
recuerdas	r e c u e r d a s |
imagen	i m a g e n |
sugiero	s u g i e r o |
extenuados	e x t e n u a d o s |
penosa	p e n o s a |
pudiese	p u d i e s e |
quedarme	q u e d a r m e |
asomaron	a s o m a r o n |
templado	t e m p l a d o |
valls	v a l l s |
espesa	e s p e s a |
goleta	g o l e t a |
turbina	t u r b i n a |
arbeca	a r b e c a |
batalla	b a t a l l a |
cenamos	c e n a m o s |
órbita	ó r b i t a |
cuál	c u á l |
termina	t e r m i n a |
centeno	c e n t e n o |
discoteca	d i s c o t e c a |
errar	e r r a r |
sabios	s a b i o s |
podríamos	p o d r í a m o s |
figureros	f i g u r e r o s |
luisa	l u i s a |
homeópata	h o m e ó p a t a |
colorado	c o l o r a d o |
elías	e l í a s |
patinete	p a t i n e t e |
diciembre	d i c i e m b r e |
hielos	h i e l o s |
contexto	c o n t e x t o |
disputa	d i s p u t a |
arrendado	a r r e n d a d o |
turbopropulsores	t u r b o p r o p u l s o r e s |
guarda	g u a r d a |
enseñemos	e n s e ñ e m o s |
saludo	s a l u d o |
estudia	e s t u d i a |
universidad	u n i v e r s i d a d |
autónoma	a u t ó n o m a |
oyeron	o y e r o n |
código	c ó d i g o |
marchar	m a r c h a r |
montero	m o n t e r o |
mudados	m u d a d o s |
ademán	a d e m á n |
asentimiento	a s e n t i m i e n t o |
angustiosa	a n g u s t i o s a |
pesadilla	p e s a d i l l a |
mostrando	m o s t r a n d o |
familiar	f a m i l i a r |
maldición	m a l d i c i ó n |
tardaré	t a r d a r é |
repararla	r e p a r a r l a |
revisar	r e v i s a r |
estratégico	e s t r a t é g i c o |
tono	t o n o |
añade	a ñ a d e |
matan	m a t a n |
impedimentos	i m p e d i m e n t o s |
escucho	e s c u c h o |
socorro	s o c o r r o |
revelado	r e v e l a d o |
sencillo	s e n c i l l o |
pedí	p e d í |
alazano	a l a z a n o |
rodado	r o d a d o |
reposaba	r e p o s a b a |
cándido	c á n d i d o |
constante	c o n s t a n t e |
olga	o l g a |
interrumpió	i n t e r r u m p i ó |
recupere	r e c u p e r e |
pagando	p a g a n d o |
espoleamos	e s p o l e a m o s |
corrimos	c o r r i m o s |
polvo	p o l v o |
generación	g e n e r a c i ó n |
confundida	c o n f u n d i d a |
bonitas	b o n i t a s |
navego	n a v e g o |
serías	s e r í a s |
horchata	h o r c h a t a |
repitió	r e p i t i ó |
milenario	m i l e n a r i o |
esté	e s t é |
sacerdote	s a c e r d o t e |
comentario	c o m e n t a r i o |
dejarlo	d e j a r l o |
besamos	b e s a m o s |
obispo	o b i s p o |
digna	d i g n a |
visitarnos	v i s i t a r n o s |
trataré	t r a t a r é |
gentuza	g e n t u z a |
aspiro	a s p i r o |
depredador	d e p r e d a d o r |
dominante	d o m i n a n t e |
monstruos	m o n s t r u o s |
hidrópicos	h i d r ó p i c o s |
esbozaron	e s b o z a r o n |
ogro	o g r o |
avaro	a v a r o |
estará	e s t a r á |
desnuda	d e s n u d a |
velada	v e l a d a |
capaces	c a p a c e s |
extraer	e x t r a e r |
coordenadas	c o o r d e n a d a s |
exactas	e x a c t a s |
fuerzas	f u e r z a s |
relatar	r e l a t a r |
horrorosos	h o r r o r o s o s |
acontecimientos	a c o n t e c i m i e n t o s |
diablejos	d i a b l e j o s |
contrariado	c o n t r a r i a d o |
separado	s e p a r a d o |
ataques	a t a q u e s |
largamos	l a r g a m o s |
cadena	c a d e n a |
matrimonio	m a t r i m o n i o |
hanse	h a n s e |
aborrecer	a b o r r e c e r |
carretera	c a r r e t e r a |
señalizada	s e ñ a l i z a d a |
kilómetros	k i l ó m e t r o s |
recorridos	r e c o r r i d o s |
aspiradora	a s p i r a d o r a |
miden	m i d e n |
junto	j u n t o |
pretendía	p r e t e n d í a |
sorprendernos	s o r p r e n d e r n o s |
pasó	p a s ó |
pienses	p i e n s e s |
rudo	r u d o |
salga	s a l g a |
apártese	a p á r t e s e |
deme	d e m e |
abordar	a b o r d a r |
apartaron	a p a r t a r o n |
reclinarse	r e c l i n a r s e |
borda	b o r d a |
inventarte	i n v e n t a r t e |
historietas	h i s t o r i e t a s |
venida	v e n i d a |
empleé	e m p l e é |
reales	r e a l e s |
entierro	e n t i e r r o |
atiendo	a t i e n d o |
despacioso	d e s p a c i o s o |
ensabanados	e n s a b a n a d o s |
fantasmas	f a n t a s m a s |
culete	c u l e t e |
acceder	a c c e d e r |
buzón	b u z ó n |
rescatarla	r e s c a t a r l a |
hice	h i c e |
variado	v a r i a d o |
cansa	c a n s a |
salvajes	s a l v a j e s |
pronuncia	p r o n u n c i a |
apoyó	a p o y ó |
sollozo	s o l l o z o |
infinita	i n f i n i t a |
lagrimas	l a g r i m a s |
secarán	s e c a r á n |
desgracia	d e s g r a c i a |
inclinado	i n c l i n a d o |
invencible	i n v e n c i b l e |
perifero	p e r i f e r o |
subían	s u b í a n |
justas	j u s t a s |
queriendo	q u e r i e n d o |
alfombra	a l f o m b r a |
metal	m e t a l |
cabalgué	c a b a l g u é |
preparados	p r e p a r a d o s |
centauros	c e n t a u r o s |
nadaba	n a d a b a |
calefacción	c a l e f a c c i ó n |
tenerme	t e n e r m e |
enganchado	e n g a n c h a d o |
interfieres	i n t e r f i e r e s |
serie	s e r i e |
guapo	g u a p o |
contestan	c o n t e s t a n |
gratitud	g r a t i t u d |
traen	t r a e n |
huérfana	h u é r f a n a |
intentando	i n t e n t a n d o |
aguanta	a g u a n t a |
caeremos	c a e r e m o s |
imanes	i m a n e s |
atraen	a t r a e n |
capital	c a p i t a l |
recojas	r e c o j a s |
llenando	l l e n a n d o |
ánforas	á n f o r a s |
ventilamos	v e n t i l a m o s |
haberla	h a b e r l a |
contemplado	c o n t e m p l a d o |
sobrina	s o b r i n a |
prepararse	p r e p a r a r s e |
evidencia	e v i d e n c i a |
distinta	d i s t i n t a |
movemos	m o v e m o s |
cállate	c á l l a t e |
pegaras	p e g a r a s |
envió	e n v i ó |
sentarnos	s e n t a r n o s |
buscamos	b u s c a m o s |
revistas	r e v i s t a s |
delincuentes	d e l i n c u e n t e s |
olla	o l l a |
vuelco	v u e l c o |
mugrienta	m u g r i e n t a |
absoluta	a b s o l u t a |
deshonra	d e s h o n r a |
jesús	j e s ú s |
respirar	r e s p i r a r |
bricolaje	b r i c o l a j e |
trópicos	t r ó p i c o s |
anginas	a n g i n a s |
tirarla	t i r a r l a |
cinturones	c i n t u r o n e s |
carga	c a r g a |
guarras	g u a r r a s |
francamente	f r a n c a m e n t e |
pastilla	p a s t i l l a |
tomaba	t o m a b a |
frasco	f r a s c o |
encorvados	e n c o r v a d o s |
patearte	p a t e a r t e |
ciega	c i e g a |
quema	q u e m a |
recordé	r e c o r d é |
vagamente	v a g a m e n t e |
escuchado	e s c u c h a d o |
ladridos	l a d r i d o s |
dormía	d o r m í a |
trató	t r a t ó |
perdularios	p e r d u l a r i o s |
lazada	l a z a d a |
disculparse	d i s c u l p a r s e |
pito	p i t o |
contramaestre	c o n t r a m a e s t r e |
orzó	o r z ó |
velamen	v e l a m e n |
flameó	f l a m e ó |
indeciso	i n d e c i s o |
topo	t o p o |
purísima	p u r í s i m a |
separe	s e p a r e |
asnillos	a s n i l l o s |
sirven	s i r v e n |
surgió	s u r g i ó |
recelé	r e c e l é |
tomé	t o m é |
decían	d e c í a n |
nabos	n a b o s |
coles	c o l e s |
evidencias	e v i d e n c i a s |
comprenderlas	c o m p r e n d e r l a s |
capa	c a p a |
atravesamos	a t r a v e s a m o s |
pleonástico	p l e o n á s t i c o |
muerta	m u e r t a |
esperad	e s p e r a d |
explicarlo	e x p l i c a r l o |
orgulloso	o r g u l l o s o |
soberbio	s o b e r b i o |
conquistador	c o n q u i s t a d o r |
bancas	b a n c a s |
remeros	r e m e r o s |
asentarse	a s e n t a r s e |
niveles	n i v e l e s |
mitocondria	m i t o c o n d r i a |
central	c e n t r a l |
célula	c é l u l a |
concebida	c o n c e b i d a |
prestaba	p r e s t a b a |
voluptuosidad	v o l u p t u o s i d a d |
tuxtlan	t u x t l a n |
tendré	t e n d r é |
cursos	c u r s o s |
catalán	c a t a l á n |
médano	m é d a n o |
iluminado	i l u m i n a d o |
pescadilla	p e s c a d i l l a |
carísimas	c a r í s i m a s |
llegue	l l e g u e |
clavarse	c l a v a r s e |
privada	p r i v a d a |
pille	p i l l e |
obligaciones	o b l i g a c i o n e s |
pagan	p a g a n |
justos	j u s t o s |
jódete	j ó d e t e |
alcaudón	a l c a u d ó n |
encontraron	e n c o n t r a r o n |
pedazos	p e d a z o s |
advierte	a d v i e r t e |
bajarle	b a j a r l e |
zumos	z u m o s |
apagado	a p a g a d o |
escopetazos	e s c o p e t a z o s |
sobresaltó	s o b r e s a l t ó |
saltaba	s a l t a b a |
travesaños	t r a v e s a ñ o s |
mató	m a t ó |
borrarlo	b o r r a r l o |
representación	r e p r e s e n t a c i ó n |
símbolo	s í m b o l o |
descendiendo	d e s c e n d i e n d o |
aterrizar	a t e r r i z a r |
vaga	v a g a |
helado	h e l a d o |
reluce	r e l u c e |
enfermos	e n f e r m o s |
enteren	e n t e r e n |
aplastados	a p l a s t a d o s |
agujereado	a g u j e r e a d o |
estafa	e s t a f a |
atrapado	a t r a p a d o |
destrenzase	d e s t r e n z a s e |
querida	q u e r i d a |
llegaban	l l e g a b a n |
charros	c h a r r o s |
sonar	s o n a r |
pesadas	p e s a d a s |
suntuosas	s u n t u o s a s |
espuelas	e s p u e l a s |
siguientes	s i g u i e n t e s |
harán	h a r á n |
ansias	a n s i a s |
andar	a n d a r |
tropezar	t r o p e z a r |
arneses	a r n e s e s |
restricción	r e s t r i c c i ó n |
área	á r e a |
setas	s e t a s |
esperabas	e s p e r a b a s |
zapatitos	z a p a t i t o s |
charol	c h a r o l |
flacos	f l a c o s |
cetrinos	c e t r i n o s |
desfibrilador	d e s f i b r i l a d o r |
pelo	p e l o |
conocía	c o n o c í a |
tenso	t e n s o |
oír	o í r |
apagadas	a p a g a d a s |
vísteme	v í s t e m e |
mosquito	m o s q u i t o |
llamaban	l l a m a b a n |
cafés	c a f é s |
gótico	g ó t i c o |
estimulan	e s t i m u l a n |
peregrino	p e r e g r i n o |
enviaba	e n v i a b a |
confundían	c o n f u n d í a n |
trecho	t r e c h o |
consigue	c o n s i g u e |
visitante	v i s i t a n t e |
trataremos	t r a t a r e m o s |
plaza	p l a z a |
concurrida	c o n c u r r i d a |
cansada	c a n s a d a |
insultos	i n s u l t o s |
agrada	a g r a d a |
asustas	a s u s t a s |
frase	f r a s e |
encantadora	e n c a n t a d o r a |
neceser	n e c e s e r |
chaparrón	c h a p a r r ó n |
empapados	e m p a p a d o s |
siervos	s i e r v o s |
respondían	r e s p o n d í a n |
dejad	d e j a d |
aterriza	a t e r r i z a |
ayudarle	a y u d a r l e |
abra	a b r a |
ochenta	o c h e n t a |
querrás	q u e r r á s |
recobrarme	r e c o b r a r m e |
reunirme	r e u n i r m e |
balearse	b a l e a r s e |
insomnio	i n s o m n i o |
yendo	y e n d o |
subiendo	s u b i e n d o |
confundía	c o n f u n d í a |
espolear	e s p o l e a r |
necesitaba	n e c e s i t a b a |
mirándonos	m i r á n d o n o s |
res	r e s |
ondular	o n d u l a r |
cabalgaduras	c a b a l g a d u r a s |
llevarme	l l e v a r m e |
reclinado	r e c l i n a d o |
estrechábale	e s t r e c h á b a l e |
cintura	c i n t u r a |
jugaban	j u g a b a n |
movían	m o v í a n |
querella	q u e r e l l a |
dibujo	d i b u j o |
autografiado	a u t o g r a f i a d o |
dalí	d a l í |
valer	v a l e r |
recuerdes	r e c u e r d e s |
permitir	p e r m i t i r |
youtubers	y o u t u b e r s |
rápido	r á p i d o |
tápate	t á p a t e |
protagonistas	p r o t a g o n i s t a s |
patéticos	p a t é t i c o s |
abrevadero	a b r e v a d e r o |
petrolera	p e t r o l e r a |
hundía	h u n d í a |
piadoso	p i a d o s o |
madrina	m a d r i n a |
atravesábamos	a t r a v e s á b a m o s |
dunas	d u n a s |
parajes	p a r a j e s |
yermos	y e r m o s |
corren	c o r r e n |
torrenteras	t o r r e n t e r a s |
gano	g a n o |
necesariamente	n e c e s a r i a m e n t e |
